"edu","prevearn","n"
9,36909.0909090909,0
9,37545.4545454545,0
9,38181.8181818182,0
9,38818.1818181818,0
9,39454.5454545455,0
9,40090.9090909091,0
9,40727.2727272727,0
9,41363.6363636364,0
9,42000,0
9,42636.3636363636,0
9,43272.7272727273,0
9,43909.0909090909,0
9,44545.4545454545,0
9,45181.8181818182,0
9,45818.1818181818,0
9,46454.5454545455,0
9,47090.9090909091,0
9,47727.2727272727,0
9,48363.6363636364,0
9,49000,0
9,49636.3636363636,0
9,50272.7272727273,0
9,50909.0909090909,0
9,51545.4545454545,0
9,52181.8181818182,0
9,52818.1818181818,0
9,53454.5454545455,0
9,54090.9090909091,0
9,54727.2727272727,0
9,55363.6363636364,0
9,56000,0
9,56636.3636363636,0
9,57272.7272727273,0
9,57909.0909090909,0
9,58545.4545454545,0
9,59181.8181818182,0
9,59818.1818181818,0
9,60454.5454545455,0
9,61090.9090909091,0
9,61727.2727272727,0
9,62363.6363636364,0
9,63000,0
10,0,371
10,636.363636363636,80
10,1272.72727272727,77
10,1909.09090909091,57
10,2545.45454545455,41
10,3181.81818181818,48
10,3818.18181818182,47
10,4454.54545454545,22
10,5090.90909090909,46
10,5727.27272727273,40
10,6363.63636363636,13
10,7000,31
10,7636.36363636364,16
10,8272.72727272727,21
10,8909.09090909091,10
10,9545.45454545455,10
10,10181.8181818182,14
10,10818.1818181818,8
10,11454.5454545455,4
10,12090.9090909091,7
10,12727.2727272727,6
10,13363.6363636364,2
10,14000,3
10,14636.3636363636,0
10,15272.7272727273,3
10,15909.0909090909,1
10,16545.4545454545,1
10,17181.8181818182,1
10,17818.1818181818,1
10,18454.5454545455,0
10,19090.9090909091,0
10,19727.2727272727,2
10,20363.6363636364,0
10,21000,0
10,21636.3636363636,0
10,22272.7272727273,0
10,22909.0909090909,0
10,23545.4545454545,0
10,24181.8181818182,0
10,24818.1818181818,1
10,25454.5454545455,0
10,26090.9090909091,0
10,26727.2727272727,0
10,27363.6363636364,0
10,28000,0
10,28636.3636363636,0
10,29272.7272727273,0
10,29909.0909090909,0
10,30545.4545454545,0
10,31181.8181818182,0
10,31818.1818181818,0
10,32454.5454545455,0
10,33090.9090909091,0
10,33727.2727272727,0
10,34363.6363636364,0
10,35000,0
10,35636.3636363636,0
10,36272.7272727273,0
10,36909.0909090909,0
10,37545.4545454545,0
10,38181.8181818182,0
10,38818.1818181818,0
10,39454.5454545455,0
10,40090.9090909091,0
10,40727.2727272727,0
10,41363.6363636364,0
10,42000,0
10,42636.3636363636,0
10,43272.7272727273,0
10,43909.0909090909,0
10,44545.4545454545,0
10,45181.8181818182,0
10,45818.1818181818,0
10,46454.5454545455,0
10,47090.9090909091,0
10,47727.2727272727,0
10,48363.6363636364,0
10,49000,0
10,49636.3636363636,0
10,50272.7272727273,0
10,50909.0909090909,0
10,51545.4545454545,0
10,52181.8181818182,0
10,52818.1818181818,0
10,53454.5454545455,0
10,54090.9090909091,0
10,54727.2727272727,0
10,55363.6363636364,0
10,56000,0
10,56636.3636363636,0
10,57272.7272727273,0
10,57909.0909090909,0
10,58545.4545454545,0
